url,isbn,title
https://storage.googleapis.com/du-prd/books/images/9781501124372.jpg,9781501124372,EVERYONE BRAVE IS FORGIVEN
https://storage.googleapis.com/du-prd/books/images/9780399170850.jpg,9780399170850,ROBERT B. PARKER'S SLOW BURN
https://storage.googleapis.com/du-prd/books/images/9780812996098.jpg,9780812996081,MILLER'S VALLEY
https://storage.googleapis.com/du-prd/books/images/9780698152045.jpg,9780525426592,AFTER YOU
https://storage.googleapis.com/du-prd/books/images/9780525955092.jpg,9780525955092,FOOL ME ONCE
https://storage.googleapis.com/du-prd/books/images/9780385539449.jpg,9780385539432,ROGUE LAWYER
https://storage.googleapis.com/du-prd/books/images/9780316407045.jpg,9780316407045,CROSS JUSTICE
https://storage.googleapis.com/du-prd/books/images/9781455520619.jpg,9781455520619,SEE ME
https://storage.googleapis.com/du-prd/books/images/9781501111686.jpg,9781501111679,THE BAZAAR OF BAD DREAMS
https://storage.googleapis.com/du-prd/books/images/9781455586431.jpg,9781455586424,THE GUILTY
https://storage.googleapis.com/du-prd/books/images/9780399176760.jpg,9780399176760,TOM CLANCY: COMMANDER IN CHIEF
https://storage.googleapis.com/du-prd/books/images/9780062294418.jpg,9780062294418,THE MAGIC STRINGS OF FRANKIE PRESTO
https://storage.googleapis.com/du-prd/books/images/9780345542984.jpg,9780345542960,TRICKY TWENTY-TWO
https://storage.googleapis.com/du-prd/books/images/9780062409850.jpg,9780062409850,GO SET A WATCHMAN
https://storage.googleapis.com/du-prd/books/images/9780345545978.jpg,9780345545961,ASHLEY BELL
https://storage.googleapis.com/du-prd/books/images/9780316225892.jpg,9780316225885,THE CROSSING
https://storage.googleapis.com/du-prd/books/images/9780345531032.jpg,9780345531032,PRECIOUS GIFTS
https://storage.googleapis.com/du-prd/books/images/9780345539113.jpg,9780345533487,A KNIGHT OF THE SEVEN KINGDOMS
https://storage.googleapis.com/du-prd/books/images/9781476798844.jpg,9781476798844,THE IMMORTAL NICHOLAS
